Year,Series,Units,Territorio,Value
2010,SerieA,%,Aragón,14.16
2011,SerieA,%,Aragón,15.55
2012,SerieA,%,Aragón,14.54
2013,SerieA,%,Aragón,16.14
2014,SerieA,%,Aragón,16.91
2015,SerieA,%,Aragón,14.4
2016,SerieA,%,Aragón,15.71
2017,SerieA,%,Aragón,13.33
2018,SerieA,%,Aragón,14.2
2019,SerieA,%,Aragón,17.9
2020,SerieA,%,Aragón,16.0
2010,SerieA,%,Aragón,20.7
2011,SerieA,%,España,20.6
2012,SerieA,%,España,20.8
2013,SerieA,%,España,20.4
2014,SerieA,%,España,22.2
2015,SerieA,%,España,22.1
2016,SerieA,%,España,22.3
2017,SerieA,%,España,21.6
2018,SerieA,%,España,21.5
2019,SerieA,%,España,20.7
2020,SerieA,%,España,21.0
2010,SerieB,%,Aragón,26.68
2011,SerieB,%,Aragón,28.16
2012,SerieB,%,Aragón,31.75
2013,SerieB,%,Aragón,21.73
2014,SerieB,%,Aragón,23.21
2015,SerieB,%,Aragón,20.58
2016,SerieB,%,Aragón,22.56
2017,SerieB,%,Aragón,17.02
2018,SerieB,%,Aragón,17.51
2019,SerieB,%,Aragón,20.78
2020,SerieB,%,Aragón,18.76
2010,SerieB,%,España,35.75
2011,SerieB,%,España,37.48
2012,SerieB,%,España,36.47
2013,SerieB,%,España,29.69
2014,SerieB,%,España,30.97
2015,SerieB,%,España,31.3
2016,SerieB,%,España,29.24
2017,SerieB,%,España,26.95
2018,SerieB,%,España,25.09
2019,SerieB,%,España,27.57
2020,SerieB,%,España,26.29
2010,SerieC,%,Aragón,12.14
2011,SerieC,%,Aragón,14.63
2012,SerieC,%,Aragón,13.57
2013,SerieC,%,Aragón,14.8
2014,SerieC,%,Aragón,13.75
2015,SerieC,%,Aragón,12.01
2016,SerieC,%,Aragón,15.24
2017,SerieC,%,Aragón,10.16
2018,SerieC,%,Aragón,12.89
2019,SerieC,%,Aragón,15.37
2020,SerieC,%,Aragón,14.04
2010,SerieC,%,España,17.63
2011,SerieC,%,España,17.82
2012,SerieC,%,España,18.98
2013,SerieC,%,España,18.69
2014,SerieC,%,España,19.88
2015,SerieC,%,España,19.51
2016,SerieC,%,España,19.81
2017,SerieC,%,España,19.69
2018,SerieC,%,España,19.14
2019,SerieC,%,España,18.59
2020,SerieC,%,España,18.65
2010,SerieD,%,Aragón,15.17
2011,SerieD,%,Aragón,17.09
2012,SerieD,%,Aragón,17.85
2013,SerieD,%,Aragón,19.26
2014,SerieD,%,Aragón,18.82
2015,SerieD,%,Aragón,18.75
2016,SerieD,%,Aragón,18.48
2017,SerieD,%,Aragón,13.92
2018,SerieD,%,Aragón,14.73
2019,SerieD,%,Aragón,18.86
2020,SerieD,%,Aragón,17.37
2010,SerieD,%,España,16.77
2011,SerieD,%,España,16.89
2012,SerieD,%,España,17.72
2013,SerieD,%,España,18.09
2014,SerieD,%,España,18.78
2015,SerieD,%,España,18.42
2016,SerieD,%,España,17.96
2017,SerieD,%,España,18.16
2018,SerieD,%,España,17.59
2019,SerieD,%,España,23.7
2020,SerieD,%,España,25.82
